path,source,raw_label,label,md5,phash,resolution,is_exact_dup,dup_cluster,dup_cluster_size,group,group_source
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (1).jpg,nora,anger,anger,4d8e1382b1b4f737943e5e342a59354d,88552a77697e11f8,224x224,False,D000000,11,ID00069,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (10).jpg,nora,anger,anger,8a1826cdb9c84efffff42cd9287eacb2,cc80bad787c45d71,224x224,False,D000001,2,ID00098,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (11).jpg,nora,anger,anger,56ba343e6012a8ac50da9e5abd5fd356,dc5f683ae53064ca,224x224,False,D000002,2,ID00012,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (12).jpg,nora,anger,anger,e3239af20e5adaa769b63f5d40116dee,ab023d64b42571df,224x224,False,D000003,4,ID00012,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (13).jpg,nora,anger,anger,ee05cddf84eb82a357f726e8f32a37bb,fc50607221eb35cf,224x224,False,D000004,2,ID00012,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (14).jpg,nora,anger,anger,e3b69ce01af4f6ce93e804258d5bb97e,ab023f2c35bd219d,224x224,False,D000005,4,ID00012,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (15).jpg,nora,anger,anger,b8765edbe04405a702ad137521e46eff,9f2f6aa3696429a1,224x224,False,D000006,8,ID00169,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (16).jpg,nora,anger,anger,58c5ffdb076ae69422c8ca2bcbe1a1a2,9f7f7ae0696005d0,224x224,False,D000007,2,ID00012,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (17).jpg,nora,anger,anger,bb23e2a8e3d84fd3aa66c934c681bfd7,9f3f6aa5692501a3,224x224,False,D000008,2,ID00032,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (18).jpg,nora,anger,anger,1cbaf1ce22d91c6cd617a01b86558788,bd3f7aa06a692a82,224x224,False,D000009,2,ID00169,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (19).jpg,nora,anger,anger,8f63b3b7487337c36cef90d0244ed886,df2f00c49d0758b7,224x224,False,D000010,2,ID00224,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (2).jpg,nora,anger,anger,7c83b70a5f37d2caee51cb057d9f8aa6,d4007f323c2b54fd,224x224,False,D000011,13,ID00069,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (20).jpg,nora,anger,anger,56634ee434980fae6ba6b47413383055,aa7f70d1da46c960,224x224,False,D000012,9,ID00224,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (21).jpg,nora,anger,anger,bb978e977cd104a8e176e17bc8116ee4,f5880469697597e5,224x224,False,D000013,5,ID00068,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (22).jpg,nora,anger,anger,62205762855d62ef62602cab940fa04d,b0dd513c3c34d3f0,224x224,False,D000014,5,ID00068,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (23).jpg,nora,anger,anger,a37700746d10eb84a9d2fb744780612a,c0582f0f3c35f2b3,224x224,False,D000015,10,ID00004,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (24).jpg,nora,anger,anger,93a5efbdb286374ded57118cd1e43097,950c7a4a6d6825f7,224x224,False,D000016,2,ID00004,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (25).jpg,nora,anger,anger,cff91bb7a965d49fe9e8d58be95ced6d,c05c2f1f3835f2a3,224x224,False,D000015,10,ID00004,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (26).jpg,nora,anger,anger,16d5d383cc8dee4a548b288f6baaabfa,950d7e5a696827e4,224x224,False,D000018,8,ID00004,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (27).jpg,nora,anger,anger,d39bfa3cb0292eb65bb3d4e32bb60c10,d53b4a374b6a6930,224x224,False,D000019,5,ID00096,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (28).jpg,nora,anger,anger,d8cdaf9eaca6b1159deb60b488923930,951b52374b6a393c,224x224,False,D000020,10,ID00096,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (29).jpg,nora,anger,anger,9bbe16d5e95a4ed2d21ebcc9c84fd36c,913b56374a686b3c,224x224,False,D000020,10,ID00096,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (3).jpg,nora,anger,anger,8643576216d44abeba8901e10a410b8a,d0c107c74b7f264e,224x224,False,D000022,15,ID00112,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (30).jpg,nora,anger,anger,06df7b1e1fcbf6e539a41720a5638b68,951f4a374b6a6b30,224x224,False,D000019,5,ID00096,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (31).jpg,nora,anger,anger,efcebefb5555a79b5e3354b9428fa506,a15b9e46de007b39,224x224,False,D000024,2,ID00049,facenet_agglomerative
data\processed\nora\Autism emotion recogition dataset\test\anger\1 (32).jpg,nora,anger,anger,4a600ecf4ad6171da1b9a6a8cd602965,a15b006eda877d2d,224x224,False,D000025,3,ID00049,facenet_agglomerative
